COMUNA;CASOS;POBLACION;TASA;Fecha
Aisén;0;25002;4;30/03/2020
Algarrobo;7;15174;46.1;30/03/2020
Alhué;0;7405;0;30/03/2020
Alto Biobío;0;6775;14.8;30/03/2020
Alto del Carmen;0;5729;0;30/03/2020
Alto Hospicio;0;129999;0;30/03/2020
Ancud;0;42458;0;30/03/2020
Andacollo;0;11791;0;30/03/2020
Angol;7;56058;12.5;30/03/2020
Antártica;0;137;0;30/03/2020
Antofagasta;29;425725;6.8;30/03/2020
Antuco;0;4306;0;30/03/2020
Arauco;0;38679;5.2;30/03/2020
Arica;6;247552;2.4;30/03/2020
Buin;7;109641;6.4;30/03/2020
Bulnes;12;22607;53.1;30/03/2020
Cabildo;0;20663;0;30/03/2020
Cabo de Hornos;5;1983;252.1;30/03/2020
Cabrero;0;30725;0;30/03/2020
Calama;0;190336;1.6;30/03/2020
Calbuco;4;36744;10.9;30/03/2020
Caldera;0;19426;0;30/03/2020
Calera de Tango;6;28525;21;30/03/2020
Calle Larga;0;16482;0;30/03/2020
Camarones;0;1233;0;30/03/2020
Camiña;0;1375;0;30/03/2020
Canela;0;9546;0;30/03/2020
Cañete;0;37003;0;30/03/2020
Carahue;0;25486;3.9;30/03/2020
Cartagena;0;25357;0;30/03/2020
Casablanca;0;29170;3.4;30/03/2020
Castro;0;47607;2.1;30/03/2020
Catemu;0;15213;0;30/03/2020
Cauquenes;0;44143;2.3;30/03/2020
Cerrillos;0;88956;3.4;30/03/2020
Cerro Navia;19;142465;13.3;30/03/2020
Chaitén;0;5020;0;30/03/2020
Chanco;0;9331;0;30/03/2020
Chañaral;0;13164;0;30/03/2020
Chépica;0;15925;0;30/03/2020
Chiguayante;6;91180;6.6;30/03/2020
Chile Chico;0;5121;0;30/03/2020
Chillán;114;198624;57.4;30/03/2020
Chillán Viejo;13;33827;38.4;30/03/2020
Chimbarongo;0;37696;0;30/03/2020
Cholchol;0;12341;8.1;30/03/2020
Chonchi;0;16013;0;30/03/2020
Cisnes;0;5828;0;30/03/2020
Cobquecura;0;5275;0;30/03/2020
Cochamó;0;4006;0;30/03/2020
Cochrane;0;3685;0;30/03/2020
Codegua;0;14096;0;30/03/2020
Coelemu;0;16845;0;30/03/2020
Coihueco;0;28375;10.6;30/03/2020
Coinco;0;7831;0;30/03/2020
Colbún;0;22565;4.4;30/03/2020
Colchane;0;1583;0;30/03/2020
Colina;32;180353;17.7;30/03/2020
Collipulli;0;26148;0;30/03/2020
Coltauco;0;21263;0;30/03/2020
Combarbalá;0;13884;0;30/03/2020
Concepción;28;238092;11.8;30/03/2020
Conchalí;14;139195;10.1;30/03/2020
Concón;0;45889;2.2;30/03/2020
Constitución;0;50348;0;30/03/2020
Contulmo;0;6330;0;30/03/2020
Copiapó;0;171766;0.6;30/03/2020
Coquimbo;17;256735;6.6;30/03/2020
Coronel;0;125829;0;30/03/2020
Corral;0;5447;0;30/03/2020
Coyhaique;0;61210;3.3;30/03/2020
Cunco;0;18055;0;30/03/2020
Curacautín;0;18178;0;30/03/2020
Curacaví;5;36430;13.7;30/03/2020
Curaco de Vélez;0;4066;0;30/03/2020
Curanilahue;0;33892;0;30/03/2020
Curarrehue;0;7802;12.8;30/03/2020
Curepto;0;9426;0;30/03/2020
Curicó;6;163626;3.7;30/03/2020
Dalcahue;0;15069;0;30/03/2020
Diego de Almagro;0;14358;7;30/03/2020
Doñihue;0;22700;0;30/03/2020
El Bosque;18;172000;10.5;30/03/2020
El Carmen;0;12334;8.1;30/03/2020
El Monte;0;40014;2.5;30/03/2020
El Quisco;0;17742;0;30/03/2020
El Tabo;0;14338;7;30/03/2020
Empedrado;0;4206;0;30/03/2020
Ercilla;0;8458;0;30/03/2020
Estación Central;16;206792;7.7;30/03/2020
Florida;0;11841;0;30/03/2020
Freire;0;25446;7.9;30/03/2020
Freirina;0;7681;0;30/03/2020
Fresia;0;12656;0;30/03/2020
Frutillar;0;20223;0;30/03/2020
Futaleufú;0;2806;0;30/03/2020
Futrono;0;15261;0;30/03/2020
Galvarino;0;12633;7.9;30/03/2020
General Lagos;0;810;0;30/03/2020
Gorbea;4;15148;26.4;30/03/2020
Graneros;0;36504;0;30/03/2020
Guaitecas;0;1599;0;30/03/2020
Hijuelas;0;19099;0;30/03/2020
Hualaihué;0;9525;10.5;30/03/2020
Hualañé;0;10222;0;30/03/2020
Hualpén;0;97273;1;30/03/2020
Hualqui;0;26201;7.6;30/03/2020
Huara;0;3000;0;30/03/2020
Huasco;0;11264;0;30/03/2020
Huechuraba;17;112528;15.1;30/03/2020
Illapel;0;32801;0;30/03/2020
Independencia;15;142065;10.6;30/03/2020
Iquique;5;223463;2.2;30/03/2020
Isla de Maipo;0;40171;0;30/03/2020
Isla de Pascua;0;8277;12.1;30/03/2020
Juan Fernández;0;1033;0;30/03/2020
La Calera;6;53591;11.2;30/03/2020
La Cisterna;10;100434;10;30/03/2020
La Cruz;0;25321;0;30/03/2020
La Estrella;0;3114;0;30/03/2020
La Florida;43;402433;10.7;30/03/2020
La Granja;5;122557;4.1;30/03/2020
La Higuera;0;4450;0;30/03/2020
La Ligua;0;37739;5.3;30/03/2020
La Pintana;0;189335;1.1;30/03/2020
La Reina;24;100252;23.9;30/03/2020
La Serena;0;249656;0.8;30/03/2020
La Unión;0;39538;2.5;30/03/2020
Lago Ranco;0;10292;0;30/03/2020
Lago Verde;0;920;0;30/03/2020
Laguna Blanca;0;264;0;30/03/2020
Laja;0;23873;4.2;30/03/2020
Lampa;10;126898;7.9;30/03/2020
Lanco;0;17652;0;30/03/2020
Las Cabras;0;26749;0;30/03/2020
Las Condes;181;330759;54.7;30/03/2020
Lautaro;0;40746;4.9;30/03/2020
Lebu;0;27100;0;30/03/2020
Licantén;0;6989;0;30/03/2020
Limache;0;49931;4;30/03/2020
Linares;4;101073;4;30/03/2020
Litueche;0;6765;0;30/03/2020
