COMUNA;CASOS;POBLACION;TASA;FECHA
Algarrobo;7;15174;46.1;01/04/2020
Alhué;0;7405;0;01/04/2020
Alto Biobío;0;6775;0;01/04/2020
Alto del Carmen;0;5729;0;01/04/2020
Alto Hospicio;0;129999;0.8;01/04/2020
Ancud;0;42458;0;01/04/2020
Andacollo;0;11791;0;01/04/2020
Angol;13;56058;23.2;01/04/2020
Antártica;0;137;0;01/04/2020
Antofagasta;32;425725;7.5;01/04/2020
Antuco;0;4306;0;01/04/2020
Arauco;5;38679;12.9;01/04/2020
Arica;6;247552;2.4;01/04/2020
Aysén;0;25002;4;01/04/2020
Buin;8;109641;7.3;01/04/2020
Bulnes;18;22607;79.6;01/04/2020
Cabildo;0;20663;0;01/04/2020
Cabo de Hornos;6;1983;302.6;01/04/2020
Cabrero;0;30725;0;01/04/2020
Calama;0;190336;1.6;01/04/2020
Calbuco;5;36744;13.6;01/04/2020
Caldera;0;19426;0;01/04/2020
Calera de Tango;7;28525;24.5;01/04/2020
Calle Larga;0;16482;0;01/04/2020
Camarones;0;1233;0;01/04/2020
Camiña;0;1375;0;01/04/2020
Canela;0;9546;0;01/04/2020
Cañete;0;37003;0;01/04/2020
Carahue;0;25486;7.8;01/04/2020
Cartagena;0;25357;0;01/04/2020
Casablanca;0;29170;3.4;01/04/2020
Castro;0;47607;2.1;01/04/2020
Catemu;0;15213;0;01/04/2020
Cauquenes;0;44143;2.3;01/04/2020
Cerrillos;4;88956;4.5;01/04/2020
Cerro Navia;21;142465;14.7;01/04/2020
Chaitén;0;5020;19.9;01/04/2020
Chanco;0;9331;0;01/04/2020
Chañaral;0;13164;0;01/04/2020
Chépica;0;15925;0;01/04/2020
Chiguayante;18;91180;19.7;01/04/2020
Chile Chico;0;5121;0;01/04/2020
Chillán;173;198624;87.1;01/04/2020
Chillán Viejo;22;33827;65;01/04/2020
Chimbarongo;0;37696;5.3;01/04/2020
Cholchol;0;12341;16.2;01/04/2020
Chonchi;0;16013;0;01/04/2020
Cisnes;0;5828;0;01/04/2020
Cobquecura;0;5275;0;01/04/2020
Cochamó;0;4006;0;01/04/2020
Cochrane;0;3685;0;01/04/2020
Codegua;0;14096;0;01/04/2020
Coelemu;0;16845;5.9;01/04/2020
Coihueco;0;28375;10.6;01/04/2020
Coinco;0;7831;0;01/04/2020
Colbún;4;22565;17.7;01/04/2020
Colchane;0;1583;0;01/04/2020
Colina;39;180353;21.6;01/04/2020
Collipulli;0;26148;0;01/04/2020
Coltauco;0;21263;0;01/04/2020
Combarbalá;0;13884;0;01/04/2020
Concepción;47;238092;19.7;01/04/2020
Conchalí;18;139195;12.9;01/04/2020
Concón;0;45889;2.2;01/04/2020
Constitución;0;50348;2;01/04/2020
Contulmo;0;6330;0;01/04/2020
Copiapó;0;171766;1.2;01/04/2020
Coquimbo;19;256735;7.4;01/04/2020
Coronel;11;125829;8.7;01/04/2020
Corral;0;5447;0;01/04/2020
Coyhaique;0;61210;3.3;01/04/2020
Cunco;0;18055;0;01/04/2020
Curacautín;0;18178;0;01/04/2020
Curacaví;5;36430;13.7;01/04/2020
Curaco de Vélez;0;4066;0;01/04/2020
Curanilahue;0;33892;3;01/04/2020
Curarrehue;0;7802;25.6;01/04/2020
Curepto;0;9426;0;01/04/2020
Curicó;8;163626;4.9;01/04/2020
Dalcahue;0;15069;0;01/04/2020
Diego de Almagro;0;14358;7;01/04/2020
Doñihue;0;22700;0;01/04/2020
El Bosque;28;172000;16.3;01/04/2020
El Carmen;0;12334;16.2;01/04/2020
El Monte;0;40014;2.5;01/04/2020
El Quisco;0;17742;0;01/04/2020
El Tabo;0;14338;7;01/04/2020
Empedrado;0;4206;0;01/04/2020
Ercilla;0;8458;0;01/04/2020
Estación Central;22;206792;10.6;01/04/2020
Florida;0;11841;0;01/04/2020
Freire;0;25446;7.9;01/04/2020
Freirina;0;7681;0;01/04/2020
Fresia;0;12656;0;01/04/2020
Frutillar;0;20223;0;01/04/2020
Futaleufú;0;2806;0;01/04/2020
Futrono;0;15261;13.1;01/04/2020
