FECHA,Región,Casos nuevos,Casos totales,Promedio de lat,lng
2020-03-17 00:00:00,Antofagasta,2,2,"-23,6509279000","-70,3975022000"
2020-03-17 00:00:00,Araucanía,4,4,"-38,9489210000","-72,3311130000"
2020-03-17 00:00:00,Arica y Parinacota,0,0,"-18,5940485000","-69,4784541000"
2020-03-17 00:00:00,Atacama,1,1,"-23,8634189000","-69,1328491000"
2020-03-17 00:00:00,Aysén,1,1,"-46,3783450000","-72,3007623000"
2020-03-17 00:00:00,Biobío,7,7,"-37,4464428000","-72,1416132000"
2020-03-17 00:00:00,Coquimbo,0,0,"-29,9590009000","-71,3389183000"
2020-03-17 00:00:00,Los Lagos,8,8,"-41,9197779000","-72,1416132000"
2020-03-17 00:00:00,Los Ríos,1,1,"-40,2310217000","-72,3311130000"
2020-03-17 00:00:00,Magallanes,2,2,"-52,3680467000","-70,9862846000"
2020-03-17 00:00:00,Maule,11,11,"-35,5183364000","-71,6884912000"
2020-03-17 00:00:00,Metropolitana,174,174,"-33,4375545000","-70,6504896000"
2020-03-17 00:00:00,Ñuble,26,26,"-36,7225743000","-71,7622481000"
2020-03-17 00:00:00,O’Higgins,0,0,"-48,4674467000","-72,5591917000"
2020-03-17 00:00:00,Tarapacá,0,0,"-20,2028799000","-69,2877535000"
2020-03-17 00:00:00,Valparaíso,1,1,"-33,0472380000","-71,6126885000"
2020-03-18 00:00:00,Antofagasta,0,2,"-23,6509279000","-70,3975022000"
2020-03-18 00:00:00,Araucanía,3,7,"-38,9489210000","-72,3311130000"
2020-03-18 00:00:00,Arica y Parinacota,1,1,"-18,5940485000","-69,4784541000"
2020-03-18 00:00:00,Atacama,0,1,"-23,8634189000","-69,1328491000"
2020-03-18 00:00:00,Aysén,0,1,"-46,3783450000","-72,3007623000"
2020-03-18 00:00:00,Biobío,7,14,"-37,4464428000","-72,1416132000"
2020-03-18 00:00:00,Coquimbo,2,2,"-29,9590009000","-71,3389183000"
2020-03-18 00:00:00,Los Lagos,8,16,"-41,9197779000","-72,1416132000"
2020-03-18 00:00:00,Los Ríos,0,1,"-40,2310217000","-72,3311130000"
2020-03-18 00:00:00,Magallanes,0,2,"-52,3680467000","-70,9862846000"
2020-03-18 00:00:00,Maule,3,14,"-35,5183364000","-71,6884912000"
2020-03-18 00:00:00,Metropolitana,73,247,"-33,4375545000","-70,6504896000"
2020-03-18 00:00:00,Ñuble,2,28,"-36,7225743000","-71,7622481000"
2020-03-18 00:00:00,O’Higgins,2,2,"-48,4674467000","-72,5591917000"
2020-03-18 00:00:00,Tarapacá,0,0,"-20,2028799000","-69,2877535000"
2020-03-18 00:00:00,Valparaíso,3,4,"-33,0472380000","-71,6126885000"
2020-03-19 00:00:00,Antofagasta,4,6,"-23,6509279000","-70,3975022000"
2020-03-19 00:00:00,Araucanía,2,9,"-38,9489210000","-72,3311130000"
2020-03-19 00:00:00,Arica y Parinacota,0,1,"-18,5940485000","-69,4784541000"
2020-03-19 00:00:00,Atacama,0,1,"-23,8634189000","-69,1328491000"
2020-03-19 00:00:00,Aysén,0,1,"-46,3783450000","-72,3007623000"
2020-03-19 00:00:00,Biobío,5,19,"-37,4464428000","-72,1416132000"
2020-03-19 00:00:00,Coquimbo,1,3,"-29,9590009000","-71,3389183000"
2020-03-19 00:00:00,Los Lagos,2,18,"-41,9197779000","-72,1416132000"
2020-03-19 00:00:00,Los Ríos,0,1,"-40,2310217000","-72,3311130000"
2020-03-19 00:00:00,Magallanes,0,2,"-52,3680467000","-70,9862846000"
2020-03-19 00:00:00,Maule,0,14,"-35,5183364000","-71,6884912000"
2020-03-19 00:00:00,Metropolitana,57,304,"-33,4375545000","-70,6504896000"
2020-03-19 00:00:00,Ñuble,16,44,"-36,7225743000","-71,7622481000"
2020-03-19 00:00:00,O’Higgins,4,6,"-48,4674467000","-72,5591917000"
2020-03-19 00:00:00,Tarapacá,0,0,"-20,2028799000","-69,2877535000"
2020-03-19 00:00:00,Valparaíso,1,5,"-33,0472380000","-71,6126885000"
2020-03-20 00:00:00,Antofagasta,4,10,"-23,6509279000","-70,3975022000"
2020-03-20 00:00:00,Araucanía,6,15,"-38,9489210000","-72,3311130000"
2020-03-20 00:00:00,Arica y Parinacota,0,1,"-18,5940485000","-69,4784541000"
2020-03-20 00:00:00,Atacama,0,1,"-23,8634189000","-69,1328491000"
2020-03-20 00:00:00,Aysén,0,1,"-46,3783450000","-72,3007623000"
2020-03-20 00:00:00,Biobío,11,30,"-37,4464428000","-72,1416132000"
2020-03-20 00:00:00,Coquimbo,0,3,"-29,9590009000","-71,3389183000"
2020-03-20 00:00:00,Los Lagos,2,20,"-41,9197779000","-72,1416132000"
2020-03-20 00:00:00,Los Ríos,0,1,"-40,2310217000","-72,3311130000"
2020-03-20 00:00:00,Magallanes,1,3,"-52,3680467000","-70,9862846000"
2020-03-20 00:00:00,Maule,1,15,"-35,5183364000","-71,6884912000"
2020-03-20 00:00:00,Metropolitana,55,359,"-33,4375545000","-70,6504896000"
2020-03-20 00:00:00,Ñuble,14,58,"-36,7225743000","-71,7622481000"
2020-03-20 00:00:00,O’Higgins,1,7,"-48,4674467000","-72,5591917000"
2020-03-20 00:00:00,Tarapacá,0,0,"-20,2028799000","-69,2877535000"
2020-03-20 00:00:00,Valparaíso,8,13,"-33,0472380000","-71,6126885000"
2020-03-21 00:00:00,Antofagasta,1,11,"-23,6509279000","-70,3975022000"
2020-03-21 00:00:00,Araucanía,12,27,"-38,9489210000","-72,3311130000"
2020-03-21 00:00:00,Arica y Parinacota,1,2,"-18,5940485000","-69,4784541000"
2020-03-21 00:00:00,Atacama,0,1,"-23,8634189000","-69,1328491000"
2020-03-21 00:00:00,Aysén,0,1,"-46,3783450000","-72,3007623000"
2020-03-21 00:00:00,Biobío,5,35,"-37,4464428000","-72,1416132000"
2020-03-21 00:00:00,Coquimbo,2,5,"-29,9590009000","-71,3389183000"
2020-03-21 00:00:00,Los Lagos,3,23,"-41,9197779000","-72,1416132000"
2020-03-21 00:00:00,Los Ríos,0,1,"-40,2310217000","-72,3311130000"
